Bird # (2621-),Capture Locale,Adj. FDB CFU/mL
2,Estrella,80
3,Estrella,120
4,Estrella,160
5,Estrella,70
6,Estrella,80
7,Estrella,70
8,Estrella,190
9,Estrella,730
10,Estrella,120
11,Estrella,110
12,Estrella,170
13,Estrella,90
14,Estrella,50
17,Estrella,60
18,Estrella,840
19,Estrella,130
20,Estrella,230
7119,Tempe,3750
39201,Phoenix,80
39202,Phoenix,480
39202,Phoenix,120
39203,Phoenix,30
39205,Phoenix,80
39206,Phoenix,130
39207,Phoenix,260
39209,Phoenix,70
39210,Phoenix,30
39212,South,110
39213,South,50
39214,South,9650
39216,South,90
39217,South,140
39218,South,190
39220,South,30
39222,South,170
39223,South,280
39224,South,70
39225,South,290
39226,South,40
39228,Tempe,110
39229,Tempe,450
39229,Tempe,450
39230,Tempe,4120
39231,Tempe,460
39234,Tempe,240
39235,Tempe,270
39236,Tempe,170
39237,Tempe,140
39239,Tempe,180
39240,Tempe,1960
39241,Tempe,290
39242,Tempe,130
39243,Tempe,70
39247,Phoenix,0
39248,Phoenix,170
39249,Phoenix,60
39250,Phoenix,620
39251,Phoenix,113500
39252,Phoenix,160
39253,Phoenix,130
39254,Phoenix,170
1851-39222,Tempe,3500
1851-39246,Phoenix,210
2591-00878,Tempe,150
UBB1,Tempe,990
