Bird # (2621-),Capture Locale,TSA CFU/ml,Meal CFU/ml,Total CFU/ml
2,Estrella,580,80,660
3,Estrella,3620,120,3740
4,Estrella,1130,160,1290
5,Estrella,1900,70,1970
6,Estrella,410,80,490
7,Estrella,160,70,230
8,Estrella,1050,190,1240
9,Estrella,9910,730,10640
10,Estrella,970,120,1090
11,Estrella,640,110,750
12,Estrella,380,170,550
13,Estrella,270,90,360
14,Estrella,690,50,740
17,Estrella,19460,60,19520
18,Estrella,1540,840,2380
19,Estrella,180,130,310
20,Estrella,22760,230,22990
7119,Tempe,2160,3750,5910
39201,Phoenix,250,80,330
39202,Phoenix,28400,480,28880
39202,Phoenix,390,120,510
39203,Phoenix,380,30,410
39205,Phoenix,360,80,440
39206,Phoenix,70,130,200
39207,Phoenix,2660,260,2920
39209,Phoenix,100,70,170
39210,Phoenix,10,30,40
39212,South,100,110,210
39213,South,260,50,310
39214,South,430,9650,10080
39216,South,590,90,680
39217,South,220,140,360
39218,South,200,190,390
39220,South,120,30,150
39222,South,370,170,540
39223,South,200,280,480
39224,South,370,70,440
39225,South,860,290,1150
39226,South,140,40,180
39228,Tempe,940,110,1050
39229,Tempe,840,450,1290
39230,Tempe,480,4120,4600
39231,Tempe,2030,460,2490
39234,Tempe,5390,240,5630
39235,Tempe,360,270,630
39236,Tempe,460,170,630
39237,Tempe,630,140,770
39239,Tempe,290,180,470
39240,Tempe,230,1960,2190
39241,Tempe,2690,290,2980
39242,Tempe,140,130,270
39243,Tempe,210,70,280
39247,Phoenix,170,0,170
39248,Phoenix,340,170,510
39249,Phoenix,350,60,410
39250,Phoenix,1020,620,1640
39251,Phoenix,6040,113500,119540
39252,Phoenix,380,160,540
39253,Phoenix,410,130,540
39254,Phoenix,320,170,490
1851-39222,Tempe,8970,3500,12470
1851-39246,Phoenix,840,210,1050
2591-00878,Tempe,220,150,370
UBB1,Tempe,1760,990,2750
